,bed,bath,acre_lot,state,house_size,price
303,4.0,4.0,0.11,0,1908.0,279900.0
304,3.0,3.0,4.75,0,1804.0,519900.0
305,4.0,4.0,0.21,0,2016.0,350000.0
306,3.0,1.0,0.39,0,1166.0,260000.0
307,6.0,3.0,0.13,0,3666.0,289900.0
308,6.0,3.0,0.11,0,3594.0,375000.0
309,9.0,3.0,0.11,0,3656.0,375000.0
310,4.0,2.0,1.0,0,1765.0,129900.0
311,2.0,1.0,0.35,0,814.0,164900.0
312,3.0,1.0,0.81,0,1312.0,379900.0
313,4.0,4.0,1.52,0,3408.0,559000.0
314,3.0,4.0,5.93,0,5500.0,899900.0
315,4.0,1.0,0.48,0,1432.0,375000.0
316,3.0,1.0,0.25,0,1367.0,115900.0
317,3.0,2.0,1.0,0,1272.0,225000.0
318,2.0,2.0,2.03,0,1655.0,374900.0
319,1.0,1.0,0.47,0,608.0,160000.0
320,2.0,1.0,2.0,0,1600.0,350000.0
321,3.0,3.0,21.0,0,3362.0,649000.0
322,4.0,2.0,0.33,0,2246.0,180000.0
323,3.0,3.0,6.04,0,2717.0,595000.0
324,3.0,2.0,0.24,0,1422.0,149900.0
325,3.0,3.0,0.14,0,1588.0,289900.0
326,3.0,1.0,0.31,0,1252.0,184900.0
327,4.0,3.0,0.35,0,2150.0,499800.0
328,4.0,3.0,0.29,0,1514.0,249900.0
329,3.0,2.0,1.13,0,2448.0,439900.0
330,3.0,2.0,0.49,0,1708.0,379900.0
331,3.0,2.0,0.38,0,1282.0,349900.0
332,4.0,2.0,0.42,0,1788.0,395000.0
333,10.0,4.0,0.22,0,4420.0,369900.0
334,2.0,1.0,3.0,0,980.0,149900.0
335,2.0,1.0,0.12,0,864.0,195000.0
336,3.0,2.0,4.28,0,1410.0,349900.0
337,4.0,4.0,0.11,0,1908.0,279900.0
338,3.0,2.0,0.37,0,1269.0,299900.0
339,4.0,3.0,0.69,0,3476.0,675000.0
340,4.0,2.0,0.56,0,1523.0,324900.0
341,3.0,1.0,0.25,0,1224.0,249000.0
342,4.0,2.0,0.12,0,1888.0,300000.0
343,3.0,2.0,0.12,0,1531.0,489900.0
344,3.0,2.0,0.4,0,1536.0,298000.0
345,3.0,2.0,0.34,0,1424.0,299413.0
346,3.0,2.0,0.51,0,1541.0,300000.0
347,3.0,2.0,0.23,0,1844.0,399900.0
348,4.0,5.0,1.36,0,4140.0,1249900.0
349,2.0,2.0,0.05,0,1200.0,275000.0
350,6.0,3.0,0.37,0,3002.0,325000.0
351,4.0,3.0,0.41,0,2590.0,579900.0
352,6.0,3.0,0.14,0,2673.0,389999.0
353,4.0,4.0,0.23,0,1764.0,359000.0
354,3.0,2.0,0.34,0,1536.0,349900.0
355,3.0,2.0,0.41,0,2003.0,479900.0
356,3.0,1.0,0.33,0,1950.0,355900.0
357,2.0,1.0,0.28,0,1207.0,240000.0
358,5.0,5.0,0.17,0,4283.0,379900.0
359,4.0,2.0,0.22,0,1314.0,269900.0
360,4.0,2.0,0.17,0,2030.0,195500.0
361,4.0,2.0,0.21,0,1303.0,269900.0
362,4.0,3.0,0.28,0,2400.0,425000.0
363,8.0,4.0,0.11,0,4356.0,374900.0
364,4.0,4.0,0.23,0,1764.0,359000.0
365,8.0,6.0,0.13,0,3111.0,324999.0
366,2.0,2.0,0.05,0,1200.0,275000.0
367,3.0,2.0,0.27,0,1265.0,259900.0
368,24.0,9.0,0.13,0,9999.0,900000.0
369,4.0,2.0,0.11,0,1872.0,259900.0
370,10.0,5.0,0.21,0,4277.0,474500.0
371,4.0,2.0,0.14,0,1470.0,204900.0
372,6.0,2.0,0.13,0,2640.0,250000.0
373,1.0,1.0,0.02,0,408.0,27700.0
374,4.0,3.0,0.29,0,1514.0,249900.0
375,5.0,2.0,0.25,0,2856.0,330000.0
376,3.0,1.0,0.26,0,1048.0,199900.0
377,7.0,5.0,0.15,0,3148.0,425000.0
378,4.0,2.0,0.13,0,1596.0,249987.0
379,5.0,2.0,0.15,0,2316.0,289900.0
380,3.0,2.0,0.2,0,1584.0,299900.0
381,3.0,2.0,0.23,0,1844.0,399900.0
382,3.0,2.0,0.33,0,1650.0,299999.0
383,3.0,1.0,0.27,0,1170.0,295000.0
384,6.0,4.0,0.16,0,2844.0,300000.0
385,3.0,1.0,0.15,0,1170.0,219000.0
386,3.0,2.0,0.23,0,1712.0,389999.0
387,4.0,1.0,0.26,0,1184.0,250000.0
388,6.0,2.0,0.13,0,2288.0,294900.0
389,5.0,2.0,0.51,0,2264.0,299900.0
390,4.0,2.0,0.16,0,1280.0,375000.0
391,3.0,2.0,0.22,0,2037.0,299900.0
392,2.0,1.0,0.15,0,1276.0,195000.0
393,3.0,3.0,0.84,0,2495.0,399900.0
394,3.0,2.0,0.51,0,1541.0,300000.0
395,3.0,2.0,1.92,0,1643.0,474900.0
396,3.0,1.0,0.8,0,1040.0,309000.0
397,4.0,3.0,0.41,0,2590.0,579900.0
398,3.0,3.0,0.4,0,1916.0,449000.0
399,6.0,4.0,0.93,0,3845.0,549900.0
400,4.0,1.0,0.91,0,1404.0,349900.0
401,12.0,6.0,0.6,0,5044.0,899900.0
402,6.0,3.0,0.26,0,2828.0,399000.0
403,3.0,3.0,1.84,0,1739.0,499900.0
404,3.0,1.0,0.34,0,1248.0,350000.0
405,3.0,2.0,10.0,0,1707.0,895000.0
406,5.0,5.0,33.43,0,6900.0,2650000.0
407,4.0,2.0,1.03,0,1638.0,349900.0
408,4.0,2.0,0.18,0,1454.0,249900.0
409,1.0,1.0,0.09,0,793.0,129000.0
410,4.0,1.0,0.64,0,1296.0,329000.0
411,4.0,5.0,0.26,0,4122.0,674444.0
412,3.0,2.0,0.23,0,1259.0,249900.0
413,3.0,3.0,0.63,0,1902.0,445000.0
414,2.0,1.0,0.38,0,988.0,279000.0
415,3.0,1.0,0.8,0,1196.0,259000.0
416,4.0,3.0,0.28,0,2500.0,399000.0
417,4.0,2.0,0.24,0,1493.0,290900.0
418,4.0,4.0,0.97,0,3000.0,739900.0
419,4.0,3.0,0.58,0,1985.0,485000.0
420,4.0,3.0,0.22,0,2758.0,460000.0
421,2.0,2.0,0.46,0,1174.0,299000.0
422,4.0,1.0,0.22,0,1425.0,304900.0
423,2.0,1.0,0.57,0,1020.0,409900.0
424,1.0,1.0,0.47,0,608.0,160000.0
425,3.0,3.0,21.0,0,3362.0,649000.0
426,3.0,2.0,0.49,0,1708.0,379900.0
427,3.0,1.0,0.9,0,1216.0,225000.0
428,3.0,2.0,0.38,0,1282.0,349900.0
429,4.0,3.0,0.35,0,2150.0,499800.0
430,4.0,3.0,0.61,0,2857.0,589900.0
431,2.0,1.0,0.29,0,987.0,265900.0
432,5.0,3.0,2.0,0,2777.0,389900.0
433,3.0,1.0,0.28,0,1260.0,300000.0
434,5.0,4.0,0.53,0,2094.0,439900.0
435,4.0,4.0,0.13,0,1728.0,375000.0
436,5.0,4.0,0.5,0,3200.0,760000.0
437,3.0,1.0,1.41,0,1092.0,269900.0
438,14.0,4.0,0.37,0,5380.0,469900.0
439,3.0,2.0,2.91,0,1560.0,289900.0
440,1.0,1.0,0.47,0,608.0,160000.0
441,2.0,1.0,2.0,0,1600.0,350000.0
442,4.0,2.0,0.33,0,2246.0,180000.0
443,3.0,3.0,6.04,0,2717.0,595000.0
444,2.0,2.0,0.92,0,1723.0,389900.0
445,3.0,1.0,0.14,0,1072.0,105000.0
446,2.0,2.0,2.03,0,1655.0,374900.0
447,4.0,2.0,0.56,0,1523.0,324900.0
448,2.0,1.0,3.0,0,980.0,149900.0
449,2.0,1.0,0.4,0,1034.0,224900.0
450,3.0,2.0,0.51,0,1541.0,300000.0
451,3.0,3.0,0.84,0,2495.0,399900.0
452,2.0,1.0,0.12,0,1722.0,129900.0
453,3.0,2.0,0.3,0,1880.0,365000.0
454,4.0,5.0,1.36,0,4140.0,1249900.0
455,3.0,2.0,1.92,0,1643.0,474900.0
456,9.0,6.0,0.19,0,5364.0,399900.0
457,3.0,2.0,1.08,0,1463.0,346000.0
458,4.0,2.0,0.3,0,2112.0,295000.0
459,6.0,2.0,0.23,0,2399.0,339000.0
